iter	Passed	Remaining
0	1	112
1	2	109
2	3	111
3	4	108
4	5	109
5	7	111
6	8	111
7	9	110
8	10	109
9	12	108
10	13	108
11	14	107
12	15	106
13	17	104
14	18	103
15	19	101
16	20	100
17	21	99
18	28	123
19	31	124
20	32	122
21	33	119
22	34	116
23	35	113
24	37	111
25	38	109
26	39	106
27	40	104
28	42	103
29	43	101
30	44	98
31	45	97
32	46	95
33	48	93
34	49	91
35	50	90
36	52	88
37	53	87
38	54	85
39	55	83
40	56	81
41	57	79
42	58	77
43	59	76
44	61	74
45	62	73
46	63	71
47	64	69
48	65	68
49	67	67
50	68	65
51	69	64
52	70	62
53	71	61
54	72	59
55	73	57
56	74	56
57	75	55
58	77	53
59	78	52
60	79	50
61	80	49
62	82	48
63	83	47
64	85	45
65	86	44
66	87	43
67	88	41
68	90	40
69	91	39
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	101	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	21
83	108	20
84	109	19
85	110	18
86	112	16
87	113	15
88	114	14
89	115	12
90	116	11
91	117	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	125	2
98	126	1
99	127	0
